;;;;;
Tanggal;Item;Kemasan (Ziplock/Jar/Botol/Dus);Qty;Harga;Total
24/03/2024;Bawang Putih Bubuk;Jar 250gr;3; Rp80.000 ; Rp240.000 
24/03/2024;Arena Gula Aren Sirup;Botol 500ml;4; Rp40.000 ; Rp160.000 
24/03/2024;Ketumbar Bubuk;Jar 55gr;8; Rp40.000 ; Rp320.000 
24/03/2024;Kunyit Bubuk;Jar 250gr;6; Rp80.000 ; Rp480.000 
24/03/2024;Kapulaga Bubuk;Ziplock 50gr;1; Rp25.000 ; Rp25.000 
24/03/2024;Cengkeh Bubuk;Jar 250gr;2; Rp100.000 ; Rp200.000 
25/03/2024;Daun Kelor Bubuk;Ziplock 125gr;3; Rp45.000 ; Rp135.000 
25/03/2024;Cabe Bubuk;Ziplock 50gr;8; Rp20.000 ; Rp160.000 
25/03/2024;Jahe Bubuk;Jar 250gr;4; Rp80.000 ; Rp320.000 
25/03/2024;Lengkuas Bubuk;Ziplock 50gr;5; Rp20.000 ; Rp100.000 
25/03/2024;Bawang Putih Bubuk;Jar 250gr;6; Rp80.000 ; Rp480.000 
25/03/2024;Arena Arabica Wine COffe;Dus 20gr;10; Rp8.000 ; Rp80.000 
25/03/2024;Daun Kelor Bubuk;Jar 50gr;4; Rp30.000 ; Rp120.000 
25/03/2024;Bawang Putih Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
25/03/2024;Kunyit Bubuk;Jar 250gr;4; Rp80.000 ; Rp320.000 
25/03/2024;Arena Gula Aren;Jar 300gr;3; Rp50.000 ; Rp150.000 
25/03/2024;Kapulaga Bubuk;Ziplock 50gr;1; Rp25.000 ; Rp25.000 
26/03/2024;Arena Gula Aren;Ziplock 200gr;3; Rp35.000 ; Rp105.000 
26/03/2024;Kunyit Bubuk;Jar 250gr;5; Rp80.000 ; Rp400.000 
26/03/2024;Bawang Putih Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
26/03/2024;Arena Gula Aren Sirup;Botol 500ml;2; Rp40.000 ; Rp80.000 
26/03/2024;Daun Kelor Bubuk;Ziplock 125gr;8; Rp45.000 ; Rp360.000 
26/03/2024;Bawang Bombay Bubuk;Ziplock 50gr;2; Rp25.000 ; Rp50.000 
26/03/2024;Kunyit Bubuk;Jar 250gr;7; Rp80.000 ; Rp560.000 
26/03/2024;Ketumbar Bubuk;Jar 55gr;3; Rp40.000 ; Rp120.000 
27/03/2024;Jahe Bubuk;Jar 250gr;7; Rp80.000 ; Rp560.000 
27/03/2024;Arena Gula Aren;Jar 300gr;3; Rp50.000 ; Rp150.000 
27/03/2024;Bawang Putih Bubuk;Ziplock 50gr;10; Rp20.000 ; Rp200.000 
28/03/2024;Daun Kelor Bubuk;Ziplock 125gr;3; Rp45.000 ; Rp135.000 
28/03/2024;Kapulaga Bubuk;Ziplock 50gr;7; Rp25.000 ; Rp175.000 
28/03/2024;Cengkeh Bubuk;Jar 250gr;3; Rp100.000 ; Rp300.000 
28/03/2024;Kunyit Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
28/03/2024;Ketumbar Bubuk;Jar 55gr;2; Rp40.000 ; Rp80.000 
29/03/2024;Cabe Bubuk;Ziplock 50gr;12; Rp20.000 ; Rp240.000 
29/03/2024;Jahe Bubuk;Jar 250gr;2; Rp80.000 ; Rp160.000 
29/03/2024;Kunyit Bubuk;Jar 250gr;7; Rp80.000 ; Rp560.000 
30/03/2024;Ketumbar Bubuk;Jar 55gr;5; Rp40.000 ; Rp200.000 
30/03/2024;Bawang Putih Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
30/03/2024;Kunyit Bubuk;Jar 250gr;6; Rp80.000 ; Rp480.000 
30/03/2024;Cengkeh Bubuk;Jar 250gr;3; Rp100.000 ; Rp300.000 
30/03/2024;Daun Kelor Bubuk;Ziplock 125gr;2; Rp45.000 ; Rp90.000 
31/03/2024;Bawang Bombay Bubuk;Ziplock 50gr;5; Rp25.000 ; Rp125.000 
31/03/2024;Kunyit Bubuk;Jar 250gr;2; Rp80.000 ; Rp160.000 
31/03/2024;Ketumbar Bubuk;Jar 55gr;4; Rp40.000 ; Rp160.000 
